source,reliability,bias
Sun Sentinel,44.35,-6.13
Syracuse Post-Standard,46.7,-2.87
Talking Points Memo,42.48,-9.83
Tampa Bay Times,46.27,-3.77
Tangle,43.58,1.79
TechCrunch,46.26,-0.26
Teen Vogue,39.58,-16.25
Tennessean,47.46,-1.94
The 11th Hour with Brian Williams,38.52,-17.39
The Advocate,46.11,-4.26
The Alex Jones Show,6.67,31.67
The American Conservative,32.58,13.66
The American Spectator,20.41,23.07
The Andrew Klavan Show,27.44,19.75
The Atlantic,39.63,-9.7
The Axe Files with David Axelrod,42.13,-10.98
The Beat with Ari Melber,35.8,-17.11
The Ben Shapiro Show,25.81,20.81
The Bottom Line,37.78,-2.07
The Bulwark,34.89,-5.18
The Business Journals,46.22,-0.12
The Candace Owens Show,16.38,26.59
The Charlie Kirk Show,11.22,27.67
The Christian Post,39.57,10.08
The College Fix,39.33,9.62
The Conversation,43.33,-4.85
The Cut,31.67,-16.09
The Daily,44.25,-7.05
The Daily Show With Trevor Noah: Ears Edition,30.78,-16.5
The Dan Bongino Show,14.29,30.52
The Deal,41.88,-2.64
The Dispatch,42.19,5.15
The Economist,44.3,-3.6
The Evening Times,41.71,1.48
The Federalist,25.04,20.25
The Five,30.0,13.22
The Gateway Pundit,17.26,24.89
The Glenn Beck Program,13.0,30.17
The Guardian,43.75,-9.29
The Hill,44.78,-0.97
The Independent,41.74,-10.28
The Ingraham Angle,19.75,27.43
The Intercept,41.12,-14.92
The Journal.,51.33,-1.11
The Last Refuge,19.74,20.95
The Last Word with Lawrence O’Donnell,27.81,-20.97
The Lead with Jake Tapper,38.2,-16.48
The Liberty Loft,20.99,18.67
The Lincoln Project,34.0,-5.44
The Mark Levin Show,8.78,32.15
The Matt Walsh Show,18.42,23.76
The Media Roundtable with Dan Granger,37.11,-5.22
The Megyn Kelly Show,36.92,11.08
The Michael Knowles Show,20.04,22.78
The Mirror,29.7,-9.72
The Motley Fool,42.09,-0.46
The Nation,34.2,-18.07
The New Abnormal,21.78,-27.08
The New American,16.67,22.74
The New York Times,44.69,-7.92
The New Yorker,40.43,-12.54
The NPR Politics Podcast,41.67,-8.03
The Oregonian,47.32,-4.45
The Progressive,34.95,-18.3
The Rachel Maddow Show,38.33,-16.9
The ReidOut,24.22,-19.53
The Right Scoop,21.06,22.53
The Root,29.67,-19.27
